text,joy,sadness,anger,fear,surprise,love,neutral
"I need help getting some money to fix my house, but nobody in the family gives a damn about me.",0,1,1,1,0,0,0
Life surprised me today in a way I will not forget. An old friend reached out out of nowhere. I was completely taken aback.,0,0,0,0,1,0,0
"I work in a dog daycare and for 10 hours I'm in a loud smelly room with dogs fighting and defecating and trying to jump on me. Yesterday it was raining so we didn't get to even go outside for a run. I was exhausted and one of the dogs peed on my shoe, and it's the only pair I have so i knew it would mean I'd have wet shoes the next day. I was so exhausted and overwhelmed when I got off I cried in my car.",0,0,1,1,0,0,0
I ate to much junk food yesterday,0,1,1,1,0,0,0
"A conversation took a turn I had not prepared for at all. I found myself just staring, trying to make sense of it. I am still processing what happened.",0,0,0,0,1,0,0
We disagreed on something but resolved it with care and respect. I felt overwhelming gratitude and could not stop thinking about how fortunate I am to have my father.,0,0,0,0,0,1,0
I woke up quite tired again yesterday. It is frustrating how little pleasant sleep I get.,0,0,1,0,0,0,0
God is truly important in my daily life as He gives me guidance. I pray to Him every single day to give thanks and pray for the important things in my life.,1,0,0,0,0,0,1
Took my wife to dinner last night to celebrate my accomplishments. It felt great to finally have the time to spend with her.,1,0,0,0,0,0,0
"I went through my regular routine. I went to work and completed my usual tasks. It was a typical kind of day, not bad, not great.",0,0,0,0,0,0,1
i could not find much work yesterday on mturk and found it to be frustrating,0,0,1,0,0,0,0
"I didn't sleep well, it felt as though I found myself stressed out all night. I kept waking up and feeling like I needed to get up and do something. I couldn't think of anything to do, so I kept trying to go back to sleep.",0,1,0,1,0,0,0
"I ate waaaaay too much for breakfast and lunch (and dinner), so I always feel full but have had really good food. I'm always eating but I shouldn't be ever.",1,1,0,0,0,0,0
Today was quiet. I had a few meetings and wrapped up some work. But there was an underlying sadness I couldn't quite name. I managed to get through the day.,0,1,0,0,0,0,1
"Yesterday I had to go to the dentist and was troubled about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so lovely so I was concerned it might be even worse, so I was anxious heading into the appoointment.",0,0,0,1,0,0,0
Thinking about the person I love most today brought me the kind of love that feels like home. They have been there through things I never could have handled alone. I am lucky to have them.,0,0,0,0,0,1,0
"It was a quiet, ordinary day but my family made it feel special. We shared a quiet moment that meant everything to me. I felt calm and happy and full of affection.",1,0,0,0,0,1,1
I played with my kittens and they always make me laugh. They know how to put a smile on my face when they chase lasers and feathers.,1,0,0,0,0,0,1
